name,ROW_ID,cueType,a,a_soundTyp,b,b_soundTyp,c,c_soundTyp,d,d_soundTyp,a_weighted,b_weighted,c_weighted,d_weighted,weighted_zSound
TYS_104,124,sound,193.99999999999997,1.2200000290000002,0.0,NA,0.0,NA,436.0,-1.519999981,236.680005626,NA,NA,-662.719991716,-0.6762539461746031
TYS_104,125,sound,452.0,1.2200000290000002,212.0,0.610000014,326.0,0.01,246.00000000000003,-1.519999981,551.440013108,129.320002968,3.2600000000000002,-373.91999532600005,0.2508899844255663
TYS_104,126,sound,497.99999999999994,1.2200000290000002,0.0,NA,412.0,0.01,0.0,NA,607.560014442,NA,4.12,NA,0.6721758400461538
TYS_104,127,label,182.0,1.2200000290000002,0.0,NA,0.0,NA,0.0,NA,222.04000527800002,NA,NA,NA,1.2200000290000002
TYS_104,128,label,192.0,1.2200000290000002,0.0,NA,558.0,0.01,220.0,-1.519999981,234.24000556800002,NA,5.58,-334.39999582,-0.09750514458969071
TYS_104,129,label,0.0,NA,192.0,0.610000014,100.0,0.01,440.0,-1.519999981,NA,117.120002688,1.0,-668.79999164,-0.752295066874317
TYS_104,130,label,174.0,1.2200000290000002,214.0,0.610000014,0.0,NA,0.0,NA,212.280005046,130.540002996,NA,NA,0.883556721757732
TYS_104,131,sound,0.0,NA,0.0,NA,0.0,NA,462.0,-0.8199999929999999,NA,NA,NA,-378.83999676599996,-0.8199999929999999
TYS_104,132,sound,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,133,sound,276.0,1.4500000480000002,280.0,0.150000006,0.0,NA,318.0,-0.8199999929999999,400.20001324800006,42.00000168,NA,-260.759997774,0.20759727363157904
